score,star_rating,helpful_rating,export
0.954545455,0.00,1.16,37
-0.625,0.75,1.86,36
0.785714286,0.75,1.00,37
0.954545455,1.00,1.00,1
0.9,1.00,1.00,5
0.966666667,1.00,1.00,38
0.928571429,0.00,1.32,36
-0.928571429,0.50,1.00,36
-0.833333333,1.00,1.94,37
-0.9,0.50,1.00,0
0.984848485,0.75,1.00,4
0.954545455,1.00,1.00,37
0.902985075,1.00,1.00,38
0.90625,1.00,1.00,39
-0.90625,1.00,1.00,0
0.966666667,0.75,1.00,1
-0.837962963,0.50,1.00,2
-0.90625,1.00,1.00,39
0.954545455,1.00,1.00,1
0.782258065,1.00,1.00,35
-0.9375,0.75,1.00,36
0.892857143,0.75,1.00,37
0.954545455,0.75,1.00,0
-0.9,1.00,1.00,0
0.954545455,1.00,1.00,0
-0.944444444,0.75,1.00,0
0.976190476,0.75,1.00,0
0.966666667,0.00,1.15,36
0.954545455,1.00,1.45,37
-0.875,1.00,1.39,36
-0.875,1.00,1.00,4
0.976190476,1.00,1.00,1
0.902985075,0.75,1.00,37
0.954545455,0.25,1.00,38
-0.9375,1.00,1.00,5
-0.90625,0.00,1.14,6
0.9,0.75,1.00,38
-0.9375,0.50,1.15,37
0.739361702,0.75,1.00,6
0.966666667,0.00,1.00,38
-0.9375,0.75,1.00,1
-0.75,0.75,1.00,36
0.95,0.75,1.30,36
0.984848485,0.75,1.00,35
-0.916666667,1.00,1.32,0
-0.916666667,0.75,1.00,35
-0.875,0.75,1.00,0
0.782258065,1.00,1.00,34
0.902985075,0.75,1.00,1
0.984848485,0.75,1.68,27
-0.9375,1.00,2.58,2
0.863636364,0.75,1.16,28
0.984848485,0.75,1.00,28
-0.875,0.25,1.60,1
-0.728658537,0.50,1.00,0
0.984848485,0.75,1.00,26
-0.928571429,0.00,1.00,2
0.902985075,1.00,1.15,1
0.902985075,1.00,1.00,2
-0.635869565,1.00,1.00,1
0.984848485,0.75,1.00,1
-0.9,0.75,1.15,2
0.96875,1.00,1.00,21
-0.837962963,1.00,1.42,22
-0.766666667,0.75,1.00,0
0.875,0.00,1.00,4
0.902985075,1.00,1.00,22
0.954545455,1.00,1.15,23
0.984848485,1.00,1.00,24
0.833333333,1.00,1.32,25
0.893939394,1.00,1.00,26
0.984848485,1.00,1.00,2
0.916666667,1.00,1.00,24
-0.925,1.00,1.00,25
0.928571429,0.75,1.00,26
0.575471698,0.75,1.00,27
-0.837962963,0.75,1.30,28
-0.625,1.00,1.32,27
0.928571429,0.50,1.00,27
-0.875,1.00,1.00,2
0.928571429,0.50,1.56,26
-0.9,0.25,1.00,26
0.928571429,0.00,1.00,3
0.96875,1.00,1.00,27
0.642857143,1.00,1.00,28
0.782258065,1.00,1.00,27
0.954545455,0.75,1.15,28
0.984848485,1.00,1.00,29
0.966666667,1.00,1.00,30
-0.633333333,1.00,1.00,3
0.954545455,1.00,1.00,31
0.75,0.75,1.00,2
-0.875,0.00,1.00,31
0.976190476,1.00,1.00,32
0.96875,0.75,1.00,0
0.984848485,0.50,1.15,4
0.984848485,0.00,1.00,31
0.954545455,1.00,1.00,1
0.954545455,0.75,1.32,1
0.902985075,1.00,1.00,32
0.984848485,0.75,1.00,3
0.954545455,1.00,1.45,31
0.954545455,1.00,1.00,4
0.902985075,0.75,1.00,1
-0.884615385,0.75,1.00,4
0.984848485,1.00,1.00,30
0.90625,0.75,1.00,31
0.954545455,1.00,1.00,31
0.984848485,1.00,1.00,32
0.984848485,1.00,1.00,33
-0.916666667,1.00,1.00,34
0.766666667,0.25,1.00,2
0.902985075,1.00,1.00,3
-0.916666667,0.75,1.00,0
0.984848485,0.75,1.15,0
0.954545455,0.75,1.32,32
0.984848485,0.75,1.00,33
-0.90625,1.00,1.00,34
0.96875,1.00,1.00,3
-0.875,1.00,1.45,34
0.954545455,1.00,1.00,4
-0.9,0.75,1.45,31
0.902985075,1.00,1.00,32
-0.95,0.75,1.00,0
-0.807692308,1.00,1.00,5
-0.833333333,1.00,1.00,1
0.833333333,0.50,2.81,28
-0.9375,0.75,1.00,0
0.954545455,1.00,1.00,26
0.928571429,1.00,1.00,27
-0.795454545,1.00,1.00,28
-0.95,0.25,1.00,0
0.954545455,0.25,1.32,26
0.902985075,0.75,1.52,1
0.96875,1.00,1.00,27
0.954545455,1.00,1.00,1
0.954545455,1.00,1.00,27
0.976190476,1.00,1.00,2
0.9,0.50,1.00,22
-0.95,1.00,1.00,23
-0.785714286,0.50,1.16,3
0.954545455,1.00,1.15,24
0.928571429,0.50,1.15,0
0.976190476,1.00,1.00,1
0.954545455,1.00,1.32,1
0.984848485,0.50,1.00,22
0.902985075,0.00,1.16,23
-0.635869565,1.00,1.00,22
-0.966666667,0.75,1.00,1
0.966666667,0.75,1.16,0
-0.635869565,1.00,1.53,2
0.75,0.50,1.00,19
0.833333333,1.00,1.00,20
-0.95,1.00,1.00,3
0.902985075,0.75,1.00,2
-0.944444444,0.50,1.00,21
0.95,1.00,1.00,22
0.9,0.75,1.00,23
-0.9,1.00,1.45,0
0.976190476,1.00,1.15,21
-0.90625,1.00,1.00,1
0.966666667,0.75,1.30,21
-0.75,1.00,1.15,20
0.984848485,0.75,1.79,21
-0.833333333,1.00,1.16,22
-0.884615385,0.75,1.00,1
0.90625,0.75,1.00,0
-0.875,0.25,1.14,23
-0.90625,0.50,1.45,3
-0.522321429,1.00,1.00,2
-0.916666667,0.75,1.15,2
0.893939394,1.00,1.00,24
0.902985075,0.00,1.60,3
0.95,1.00,1.00,25
0.954545455,0.00,1.16,26
-0.839285714,1.00,1.00,27
0.90625,1.00,1.00,2
0.954545455,0.75,1.90,0
0.984848485,1.00,1.85,3
0.892857143,1.00,1.00,24
0.954545455,1.00,1.00,23
0.928571429,0.50,1.00,0
-0.875,1.00,1.00,1
-0.95,0.75,1.00,0
0.966666667,0.00,1.15,1
0.954545455,0.75,1.00,4
0.90625,0.00,1.00,20
0.976190476,0.00,1.00,21
-0.833333333,1.00,1.00,22
-0.90625,0.00,1.30,23
-0.966666667,1.00,1.00,24
-0.9,1.00,1.00,25
-0.9375,1.00,1.00,0
-0.875,0.50,1.00,2
0.966666667,1.00,1.00,22
-0.75,1.00,1.32,3
-0.95,0.75,1.00,23
-0.791666667,1.00,1.32,3
0.954545455,0.75,1.00,22
-0.925,1.00,1.00,4
0.96875,1.00,1.00,21
0.90625,1.00,1.16,22
-0.875,0.00,2.18,23
0.928571429,1.00,1.00,24
-0.833333333,1.00,1.00,2
0.531847134,1.00,1.00,24
