,review_id,sale_count
0,R9T1FE2ZX2X04,
1,RE36JAD5V53PO,
2,RIDHM8B7SCCV3,
3,R14QGWPCHU9LSE,
4,R230LCPQDOFJJZ,
5,RYOOYLVIAHU2A,
6,R18NK8BQ5LPMZZ,
7,RD0BGSERMZ2JS,
8,R3N0F2FKJOMGKK,
9,R2M6U66CT3H5OY,
10,R2WDYCZI91LL6K,
11,R1DZKVY1CJF3QP,
12,R3IL7ENAGVGJ3I,
13,R1PEMP08D31OPZ,
14,R35ZY5QEANBM8D,
15,RWMEEVC97HUNG,
16,R3GR9RB60NKBG0,
17,R2S51H4FUT53NR,
18,RTYQK30NMOCM6,
19,R3GELVX38EM91L,
20,ROMFVXSLZP6HW,
21,R1MNTJKIK8FETW,
22,R1PVX4QFWHMCWO,
23,RSJM2TUS1RV7B,
24,R3QWLLEFDJAE1S,
25,REOAJPZWKR6K9,
26,R3KD277RB5OGGF,
27,R1CH89SEVYIHW0,
28,R3N3KZ7ZP8HJQV,
29,R1PCG4HG8GZJBE,
30,R38Q9W9BNZN2C4,
31,R1WXXPRNQWE7Y6,
32,R3SS843K1CWOIY,
33,R1CBKQKQYW50UX,
34,R3DTN85N6X9SIS,
35,R3LY7MANJ71HBW,
36,R24QP0W6EEOHUS,
37,RLQUFMAV4PDJV,
38,RO9KNA385PZML,
39,R2XSDRSLLGC750,
40,R1GNASF5UI5MFK,
41,R20ZGQIMYDIS4H,
42,R17M5MZ51QMVCK,
43,R3F0HVXSBUC4ZA,
44,RVQC05SNQCV7U,
45,R2CNQVPGS12Q9U,
46,R2DCN3LVLN029S,
47,R2AVR4LDQJ9ZC3,
48,R3U2Q8FK78NL25,
49,R1VR5BNNT6O42J,
50,R1NRG8W14M4CLG,
51,R3L5SKZ80SISVL,
52,R3TK7ALY9OX6AU,
53,R14H2YRC78LPRI,
54,R325ASXFQ8D66J,
55,RXTB7K8FZ2CUI,
56,R2B9QSQYIMD9IQ,
57,R2CWOY8AIVXR78,
58,RH1COQMQTTTQK,
59,RGCXNOF41RJUV,
60,R27KFIYH6UN3Z9,
61,R2MAVSNJJ62S54,
62,R1VTV0AKB52C9H,
63,R1V4NOB6BPAQP7,
64,RJRW0RDNSZ6I1,
65,R6TDV0VZY8MJ2,
66,R19QC4I6XAFVRT,
67,R5QPK9FEGOJMS,
68,R3ATL80Z74M7OG,
69,R7GF4Y91VF0QF,
70,R2UB31YAU4O9TO,
71,R1JPB4C7WUPASJ,
72,R2O4W8PM98H3XE,
73,RAKZYMW6TR3GS,
74,R1BHICCLA0TLA3,
75,R22CALOXJCOQOZ,
76,R3MUY94GYQOVXT,
