,review_id,sale_count
0,RY52KZABZK8QF,
1,R3GCOEV4HYZG2I,
2,R1V2OPPNL0QGCE,
3,R9Q0QDTLKV567,
4,R3DL7HYC3QTWNI,
5,R3M88678ZYC6WI,
6,R29F0E6EJJCEEM,
7,R1WU4A3QFKJ0HT,
8,R2Q061UH1EJHIJ,
9,R2F0TUS62C3ZCN,
10,R2X9MN0B0MVUZT,
11,R35P4D0NHKAGKE,
12,R2V6PXBBC9ZPKZ,
13,RR48906IDDC7R,
14,R3BRGLMPYWFS2N,
15,R1FB7BN6Z0L3XO,
16,R3U4EMQXXN5ZWA,
17,RCFH27W77OTPH,
18,R2R63T6FP7G9JL,
19,R3YSEIBEK0XYT,
20,R9HXJK5NX9IPY,
21,R14FJ9TGHJN8X8,
22,R36FKD0RA85LD2,
23,RV08WAK7KQ5C8,
24,RUMJPRPFJFIZ2,
25,R29HSQ1GJXRRXH,
26,RRO2C7LNHYSSL,
27,ROKWTKVHCUN0D,
28,R23IP4R4VPCU7W,
29,R3ALDVS4RB8YJD,
30,R7LFUNGK7ZW6L,
31,R2UQX5X29O3ICI,
32,R3MSBQ3L6OIFIP,
33,RPR2PCYD8LDEM,
34,R17Z5LA3XNPOSX,
35,R1V1MIFZU32A97,
36,R33HSAVWTVNLG6,
37,R37VRG2JRLUORR,
38,R1UFH7URKHIN3E,
39,R3M0JKAJ6MB493,
40,RE5FI6X7K940Q,
41,R191WJ8DHZTEB3,
42,R33QQZWE5WZ1MK,
43,R2XD9H8S4VPDDT,
44,R2OXNE998ILXLZ,
45,R1CXMZHGT72D65,
46,R1DDJOZCYZBOT9,
47,R3EPBXK1X7BZDI,
48,R1HFUJLGGZLA2X,
49,R1SGRCSYQEMI0F,
50,R198VUDI60EYSE,
51,R2VDH787K2ZDVS,
52,RJSZGT70TBDBX,
53,R1LKTKXR8G1437,
54,R2UDBTRZJPU09T,
55,R2487ZJ2GCE02N,
56,R33PO0Y4KJSRIB,
57,R32U84HFYW9RAB,
58,R243KI1FG0AU9V,
59,R2WZZTZYTMETND,
60,R3E7YAWJUADFEN,
61,R2DJ78G40RCH9Z,
62,RN8OH8WQQAE3Z,
63,RRC3S9SHXY1XP,
64,R2S6C5PBXVCHFD,
65,R1RCBMXTERHOHJ,
66,RTRM5DKF96E9D,
67,R32N9OYUHZYHKB,
68,R39MLY03O5BEIB,
69,R24L0SMFBBZ6HY,
70,R30L6DPZXQ6JDR,
71,R3B1AXP92P40OK,
72,R199R4XPI71OP6,
73,R24NEPZ4WFT7C0,
74,R1PIZ8HOJNUTAF,
75,R2B33BCFFCQ4DW,
76,R23V86M1E49J6O,
77,R2E1MRFF2ETWMV,
78,R3RHTF0LIO1OBB,
79,R1AJIP6XR52IJV,
80,R23Q0HY498I6ZP,
