,review_id,sale_count
0,R1A3ZUBR8TSAKY,
1,RLJNYBK4FGBYX,
2,R26QCW75C4JDOK,
3,R2E7N0TVLUHUDR,
4,R1SO9VMCIGZX3U,
5,R2EUVAGKYPV8Z3,
6,R2EC65V4U7R8FZ,
7,RG9XY3EKPUCL1,
8,R1QR2VQN2KLU6Z,
9,R3PRYHYQE0TLYK,
10,R2M4WTN0Z3EJZ5,
11,R2WGKHKDDYUBV8,
12,R2UQFAFNMGSFKE,
13,R1B3QE6JZ2OKEY,
14,R3CSWENZZI15LL,
15,R31OJB468465EI,
16,R28PVLOQYIT58Q,
17,R15YIDY8YOE6WJ,
18,R1DBF6ZC7B0RT,
19,rzhlaecz5ztnc,
20,r1hmriuqihl269,
21,rjzm3tgias5b1,
22,rj9oncz8opyh0,
23,r1jxcx9y0cbrv6,
24,rofmba459oz97,
25,r3e0tnt8x8ldm4,
26,r2ypf10txmny,
27,r2homn4x6tzo5l,
28,r2k30en7ecl1gy,
29,r19f5y1xkd94pi,
30,r25ybt4x5vp9d1,
31,r3a1fw7ch9jush,
32,r3h36saktv9muo,
33,ramzbjvw2d2ys,
34,r2c7f72wtxwssl,
35,r11rj9knv6b2sj,
36,r39ajdljjnfw2,
37,rfy5ylrphqijz,
38,rxtepf3c4busr,
39,r1thzm5qntbmtj,
40,r2e9r5jkyingnr,
41,r1bo7s2xllpdnd,
42,r2fs20tloqbb7v,
43,r9mmx8m6y2l7,
44,r1ngoe9ffhg1wa,
45,rypgyfzy7tfof,
46,r3u2996k5yer6b,
47,r16h0xt4qyiaf,
48,r15jbyjr38bp85,
49,rst8so06v4l4c,
50,R3MLL7RWQF0O81,
51,R3I217L0P5PRJ1,
52,R2WOALUE0F2T34,
53,RJ2ESUGLL44TE,
54,R12GS48GGS342D,
55,RF9AFROPBZDOB,
56,RB9WN05XBWHNS,
57,R19MRGJZHVATQ3,
58,R3K4BR7TIXGEOX,
59,R32PSTXBHIC7L7,
60,R276A8JHY3995L,
61,RG069FYKF0U2U,
62,R2LHORKBRA09RO,
63,R28NXUO2TRX9ZW,
64,R3R0UQWQOR8MDJ,
65,RAV784AEUO7SA,
