,V1,Unnamed0,customer_id,review_id,product_id,product_parent,product_title,star_rating,helpful_votes,total_votes,vine,verified_purchase,review_headline,review_body,review_date,score,export,Star normalization,Normalization of comment scores,Help rating weights,Help normalize rating weights,Total score
0,0,0,34678741,R9T1FE2ZX2X04,B003V264WW,732252283,"remington ac2015 t|studio salon collection pearl ceramic hair dryer, deep purple",5,0,0,N,Y,Works great,Works great!,8/31/2015,0.069441808, ,1.0,0.578088989,1.0,0.0,0.710865856
1,2,2,2282190,RIDHM8B7SCCV3,B0007NZPY6,16483457,conair pro hair dryer,5,0,1,N,Y,Five Stars,Love this dryer!,8/31/2015,0.03390415, ,1.0,0.568662085,1.0,0.0,0.708063238
2,3,3,43669858,R14QGWPCHU9LSE,B00BB8ZIW0,253917972,remington silk ceramic professional hair dryer,5,0,0,N,Y,Five Stars,styling hair in style,8/31/2015,0.043970878, ,1.0,0.571332437,1.0,0.0,0.708857134
3,4,4,51995766,R230LCPQDOFJJZ,B000065DJY,919751065,revlon 1875w volumizing hair dryer,5,0,0,N,Y,Five Stars,Excellent dryer.,8/31/2015,0.052446475, ,1.0,0.573580718,1.0,0.0,0.709525548
4,6,6,17023782,R18NK8BQ5LPMZZ,B0057HQ6C2,582752797,"pibbs ttec8012 twin turbo 3800 professional ionic and ceramic hair dryer, black, 2100 watt",5,0,0,N,Y,Five Stars,Perfect,8/31/2015,0.019048195, ,1.0,0.564721316,1.0,0.0,0.706891647
5,7,7,17563775,RD0BGSERMZ2JS,B00132ZG3U,758099411,conair 1875 watt tourmaline ceramic hair dryer,5,0,1,N,Y,Nice hairdryer that works very well.,I really like this hairdryer. I haven't had it very long. But it's working well for me.,8/31/2015,0.091811705, ,1.0,0.584022945,1.0,0.0,0.712630021
6,8,8,9924936,R3N0F2FKJOMGKK,B00CC7Y0G4,253762851,"remington d3015 ionic ceramic dryer, ionic hair dryer, hair dryer",5,3,3,N,Y,"Works great, I use it 5 days a week","Reckon I have had this about a year now, at least 7 months. Works great, I use it 5 days a week, blows hot air, doesnt overheat, isnt to big, came quick, didnt cost much. Get you one, you will like it.",8/30/2015,0.074232685, ,1.0,0.579359842,1.4515449930000002,0.175017439,0.739911538
7,12,12,47929663,R3IL7ENAGVGJ3I,B001BOFIRO,26711891,andis tourmaline ionic/ceramic 1875 watt hair dryer,5,0,0,N,Y,A good replacement,Like this as well as the one I had before.,8/30/2015,-0.035439464, ,1.0,0.550267636,1.0,0.0,0.702594568
8,13,13,15822780,R1PEMP08D31OPZ,B00SKQFT4I,593915883,xtava allure 2200w professional ionic ceramic hair dryer - bring the salon to your home with this powerful and precise blow dryer - 2 speeds - 3 heat settings (ebony),5,0,1,N,Y,Girlfriend loves it,Very quiet. Bought this to replace my girlfriend's stupid loud blow dryer that woke me up every morning. This thing is much easier on the ears.,8/30/2015,0.004031858, ,1.0,0.560738004,1.0,0.0,0.705707409
9,15,15,30948103,RWMEEVC97HUNG,B003FBG88E,195677102,conair pro styler ionic conditioning hair dryer,5,0,0,N,Y,Great Blow Dryer,Live this hairdryer,8/29/2015,0.018920701, ,1.0,0.564687497,1.0,0.0,0.706881593
