,V1,Unnamed0,customer_id,review_id,product_id,product_parent,product_title,star_rating,helpful_votes,total_votes,vine,verified_purchase,review_headline,review_body,review_date,score,export,Star normalization,Normalization of comment scores,Help rating weights,Help normalize rating weights,Total score1,Total score2,Total score3,Total score4
0,0,0,34678741,R9T1FE2ZX2X04,B003V264WW,732252283,"remington ac2015 t|studio salon collection pearl ceramic hair dryer, deep purple",5,0,0,N,Y,Works great,Works great!,8/31/2015,0.069441808, ,1.0,0.578088989,1.0,0.0,0.710865856,0.754234142,0.683138592,0.825329693
1,1,1,11599505,RE36JAD5V53PO,B0009XH6V4,670161917,andis micro turbo hair dryer,4,0,0,N,Y,I love travel blow dryers because they are easy to lift ...,"This dries my hair faster that bigger, more powerful models. I love travel blow dryers because they are easy to lift and they usually come in 1600 w or less. Bigger dryers are heavy and blow my hair everywhere. This has a surprising amount of power and is very compact. I would give it a five except that the switch is not easy to turn on and off with one hand and it's noisier than I anticipated.",8/31/2015,0.361184025, ,0.75,0.655478052,1.0,0.0,0.599123625,0.624881544,0.582655447,0.667107642
2,2,2,2282190,RIDHM8B7SCCV3,B0007NZPY6,16483457,conair pro hair dryer,5,0,1,N,Y,Five Stars,Love this dryer!,8/31/2015,0.03390415, ,1.0,0.568662085,1.0,0.0,0.708063238,0.751719044,0.680152149,0.82328594
3,3,3,43669858,R14QGWPCHU9LSE,B00BB8ZIW0,253917972,remington silk ceramic professional hair dryer,5,0,0,N,Y,Five Stars,styling hair in style,8/31/2015,0.043970878, ,1.0,0.571332437,1.0,0.0,0.708857134,0.752431494,0.680998116,0.823864872
4,4,4,51995766,R230LCPQDOFJJZ,B000065DJY,919751065,revlon 1875w volumizing hair dryer,5,0,0,N,Y,Five Stars,Excellent dryer.,8/31/2015,0.052446475, ,1.0,0.573580718,1.0,0.0,0.709525548,0.753031336,0.681710371,0.8243523
5,6,6,17023782,R18NK8BQ5LPMZZ,B0057HQ6C2,582752797,"pibbs ttec8012 twin turbo 3800 professional ionic and ceramic hair dryer, black, 2100 watt",5,0,0,N,Y,Five Stars,Perfect,8/31/2015,0.019048195, ,1.0,0.564721316,1.0,0.0,0.706891647,0.750667647,0.678903713,0.822431581
6,7,7,17563775,RD0BGSERMZ2JS,B00132ZG3U,758099411,conair 1875 watt tourmaline ceramic hair dryer,5,0,1,N,Y,Nice hairdryer that works very well.,I really like this hairdryer. I haven't had it very long. But it's working well for me.,8/31/2015,0.091811705, ,1.0,0.584022945,1.0,0.0,0.712630021,0.755817322,0.685018469,0.826616174
7,8,8,9924936,R3N0F2FKJOMGKK,B00CC7Y0G4,253762851,"remington d3015 ionic ceramic dryer, ionic hair dryer, hair dryer",5,3,3,N,Y,"Works great, I use it 5 days a week","Reckon I have had this about a year now, at least 7 months. Works great, I use it 5 days a week, blows hot air, doesnt overheat, isnt to big, came quick, didnt cost much. Get you one, you will like it.",8/30/2015,0.074232685, ,1.0,0.579359842,1.4515449930000002,0.175017439,0.739911538,0.77790303,0.715621895,0.840184166
8,10,10,49876147,R2WDYCZI91LL6K,B00006IV22,357308868,conair 1875 watt dual voltage folding handle hair dryer,4,0,0,N,Y,Blows like a jet engine!,"Nice hair dryer, dual voltage comes in handy.",8/30/2015,0.094508577, ,0.75,0.584738331,1.0,0.0,0.578092706,0.606008187,0.560245103,0.65177127
9,12,12,47929663,R3IL7ENAGVGJ3I,B001BOFIRO,26711891,andis tourmaline ionic/ceramic 1875 watt hair dryer,5,0,0,N,Y,A good replacement,Like this as well as the one I had before.,8/30/2015,-0.035439464, ,1.0,0.550267636,1.0,0.0,0.702594568,0.746811405,0.674324787,0.819298023
10,13,13,15822780,R1PEMP08D31OPZ,B00SKQFT4I,593915883,xtava allure 2200w professional ionic ceramic hair dryer - bring the salon to your home with this powerful and precise blow dryer - 2 speeds - 3 heat settings (ebony),5,0,1,N,Y,Girlfriend loves it,Very quiet. Bought this to replace my girlfriend's stupid loud blow dryer that woke me up every morning. This thing is much easier on the ears.,8/30/2015,0.004031858, ,1.0,0.560738004,1.0,0.0,0.705707409,0.749604899,0.6776418,0.821567999
11,14,14,13564217,R35ZY5QEANBM8D,B0027SU9JU,918034537,revlon 1875w volumizing turbo hair dryer,4,0,1,N,Y,"Nice, light and powerful...","this is a good dryer with nice attachments...very light and powerful. The only drawback is the switches. If your hand has any mousse or oil on them, forget turning this on without a struggle. The switches have no grip nor heavy grooves on them that make turning on/off easy. But, overall good.",8/30/2015,0.182369124, ,0.75,0.608044678,1.0,0.0,0.585021683,0.61222632,0.567628554,0.656824086
12,15,15,30948103,RWMEEVC97HUNG,B003FBG88E,195677102,conair pro styler ionic conditioning hair dryer,5,0,0,N,Y,Great Blow Dryer,Live this hairdryer,8/29/2015,0.018920701, ,1.0,0.564687497,1.0,0.0,0.706881593,0.750658624,0.678892999,0.822424249
13,16,16,43455810,R3GR9RB60NKBG0,B0012DL8B4,897437023,conair vagabond folding handle 1875 watt compact hair dryer 1 ea,5,0,0,N,Y,Five Stars,Perfect for travel.,8/29/2015,0.057246874, ,1.0,0.574854097,1.0,0.0,0.709904123,0.753371073,0.682113778,0.824628368
14,17,17,10601291,R2S51H4FUT53NR,B000XE6C3M,772841097,"ovente seductive ceramic ionic tourmaline lightweight professional hair dryer, red (3600)",5,0,0,N,Y,Five Stars,thanks,8/29/2015,0.019048195, ,1.0,0.564721316,1.0,0.0,0.706891647,0.750667647,0.678903713,0.822431581
15,19,19,16030865,R3GELVX38EM91L,B000RZLL38,983445543,oster tourmaline wall mount hair dryer 76932-710,5,0,0,N,Y,Works just like the ones in the hotels.,"So handy, works great, frees up counter top space in my small bathroom.",8/29/2015,0.087177133, ,1.0,0.582793554,1.0,0.0,0.712264524,0.75548932,0.684628998,0.826349643
16,20,20,28248079,ROMFVXSLZP6HW,B003V264WW,732252283,"remington ac2015 t|studio salon collection pearl ceramic hair dryer, deep purple",5,0,0,N,Y,I am obsessed,"After using the same blowdryer for probably 8-10years, I decided to upgrade to a new one. I have very thick (*VERY THICK!*) moderately wavy shoulder length hair. Due to my hair thickness, drying times were typically 30-45minutes. I wish I was joking. This dryer dries completely in under 15 minutes (about 10-12minutes more precisely). I am so thrilled with this dryer!! Can't say enough good things about it! I like the texture of the dryer itself, love the speed of drying and the cord is long enough to actually be able to use it! SCORE!",8/29/2015,0.235547403, ,1.0,0.622151026,1.0,0.0,0.7239655,0.765989894,0.697097445,0.834882342
17,21,21,15040037,R1MNTJKIK8FETW,B0001B86HM,805407843,"conair pro styler bonnet hair dryer, white",5,0,0,N,Y,Works great. Just wish it had a medium setting,Works great.  Just wish it had a medium setting.,8/29/2015,0.111880329, ,1.0,0.589346453,1.0,0.0,0.7142127,0.757237634,0.686704956,0.827770311
18,22,22,39094191,R1PVX4QFWHMCWO,B003FBG88E,195677102,conair pro styler ionic conditioning hair dryer,5,0,0,N,Y,No complaints!,"I blowdry my hair at least 3 times a week and I was using a really, really old, cheap, bulky one to get the job done. This dryer gets the job done a lot better! It's smaller, lighter, more ergonomic if you will, and dries my long, thick hair (not always a good thing!) reasonably quick! Great purchase, as long as it lasts as long as my old ones did :)",8/29/2015,0.102959936, ,1.0,0.586980183,1.0,0.0,0.713509208,0.756606313,0.685955322,0.827257304
19,23,23,49609338,RSJM2TUS1RV7B,B00JXQ06X8,619941271,bed head curls in check 1875 watt diffuser hair dryer,5,0,0,N,Y,Five Stars,"Love this, keeps my curls nice and not frizzes out.",8/29/2015,0.00946373, ,1.0,0.562178891,1.0,0.0,0.706135784,0.749989328,0.678098273,0.821880384
20,25,25,32500930,REOAJPZWKR6K9,B00VRN7SB8,253917972,remington silk ceramic professional hair dryer,5,0,0,Y,N,Great Hair Dryer,"This is a really nice hair dryer from Remington. The handle and controls  are very ergonomic, and the head is well balanced so that it doesn't get to be a chore handling it. The heat settings are what you'd expect, and the dryer does a good job of getting your hair dry fast without too much static buildup. What I really like about this dryer is the generous cord length and the ability to hand the dryer from a hook. The attachments fit well, but the diffuser attachment comes in the handiest as always.",8/28/2015,0.419866591, ,1.0,0.671044495,1.0,0.0,0.738501528,0.779034671,0.712586896,0.845482447
21,27,27,16117804,R1CH89SEVYIHW0,B0057HQ6C2,582752797,"pibbs ttec8012 twin turbo 3800 professional ionic and ceramic hair dryer, black, 2100 watt",5,0,0,N,Y,Well worth the money!,Amazing amount of air that comes out of it! My wife and I love it... My waiting time to go out is cut in more than half!! Highly recommended. Feels solid like you are getting your money's worth. Has a nice long cord too..,8/28/2015,0.106198805, ,1.0,0.587839342,1.0,0.0,0.713764636,0.756835536,0.686227504,0.827443569
