,V1,Unnamed0,customer_id,review_id,product_id,product_parent,product_title,star_rating,helpful_votes,total_votes,vine,verified_purchase,review_headline,review_body,review_date,score,export,Star normalization,Normalization of comment scores,Help rating weights,Help normalize rating weights,Total score1,Total score2,Total score3,Total score4,Total score5
0,8,8,9924936,R3N0F2FKJOMGKK,B00CC7Y0G4,253762851,"remington d3015 ionic ceramic dryer, ionic hair dryer, hair dryer",5,3,3,N,Y,"Works great, I use it 5 days a week","Reckon I have had this about a year now, at least 7 months. Works great, I use it 5 days a week, blows hot air, doesnt overheat, isnt to big, came quick, didnt cost much. Get you one, you will like it.",8/30/2015,0.074232685, ,1.0,0.579359842,1.4515449930000002,0.175017439,0.739911538,0.77790303,0.715621895,0.8401841659999999,0.6844813270000001
1,20,20,28248079,ROMFVXSLZP6HW,B003V264WW,732252283,"remington ac2015 t|studio salon collection pearl ceramic hair dryer, deep purple",5,0,0,N,Y,I am obsessed,"After using the same blowdryer for probably 8-10years, I decided to upgrade to a new one. I have very thick (*VERY THICK!*) moderately wavy shoulder length hair. Due to my hair thickness, drying times were typically 30-45minutes. I wish I was joking. This dryer dries completely in under 15 minutes (about 10-12minutes more precisely). I am so thrilled with this dryer!! Can't say enough good things about it! I like the texture of the dryer itself, love the speed of drying and the cord is long enough to actually be able to use it! SCORE!",8/29/2015,0.23554740300000002, ,1.0,0.622151026,1.0,0.0,0.7239654999999999,0.7659898940000001,0.697097445,0.834882342,0.6626512210000001
2,21,21,15040037,R1MNTJKIK8FETW,B0001B86HM,805407843,"conair pro styler bonnet hair dryer, white",5,0,0,N,Y,Works great. Just wish it had a medium setting,Works great.  Just wish it had a medium setting.,8/29/2015,0.111880329, ,1.0,0.589346453,1.0,0.0,0.7142126999999999,0.7572376340000001,0.6867049559999999,0.827770311,0.651438618
3,22,22,39094191,R1PVX4QFWHMCWO,B003FBG88E,195677102,conair pro styler ionic conditioning hair dryer,5,0,0,N,Y,No complaints!,"I blowdry my hair at least 3 times a week and I was using a really, really old, cheap, bulky one to get the job done. This dryer gets the job done a lot better! It's smaller, lighter, more ergonomic if you will, and dries my long, thick hair (not always a good thing!) reasonably quick! Great purchase, as long as it lasts as long as my old ones did :)",8/29/2015,0.102959936, ,1.0,0.586980183,1.0,0.0,0.713509208,0.7566063129999999,0.685955322,0.8272573040000001,0.650629827
4,25,25,32500930,REOAJPZWKR6K9,B00VRN7SB8,253917972,remington silk ceramic professional hair dryer,5,0,0,Y,N,Great Hair Dryer,"This is a really nice hair dryer from Remington. The handle and controls  are very ergonomic, and the head is well balanced so that it doesn't get to be a chore handling it. The heat settings are what you'd expect, and the dryer does a good job of getting your hair dry fast without too much static buildup. What I really like about this dryer is the generous cord length and the ability to hand the dryer from a hook. The attachments fit well, but the diffuser attachment comes in the handiest as always.",8/28/2015,0.419866591, ,1.0,0.671044495,1.0,0.0,0.738501528,0.7790346709999999,0.7125868959999999,0.8454824470000001,0.6793630079999999
5,27,27,16117804,R1CH89SEVYIHW0,B0057HQ6C2,582752797,"pibbs ttec8012 twin turbo 3800 professional ionic and ceramic hair dryer, black, 2100 watt",5,0,0,N,Y,Well worth the money!,Amazing amount of air that comes out of it! My wife and I love it... My waiting time to go out is cut in more than half!! Highly recommended. Feels solid like you are getting your money's worth. Has a nice long cord too..,8/28/2015,0.106198805, ,1.0,0.587839342,1.0,0.0,0.713764636,0.756835536,0.6862275040000001,0.827443569,0.650923487
6,30,30,10881188,R38Q9W9BNZN2C4,B0009XH6V4,670161917,andis micro turbo hair dryer,5,0,0,N,Y,Great little dryer!,It is so hard to find a small blowdryer. I'm very happy with this!,8/28/2015,0.152367962, ,1.0,0.600086413,1.0,0.0,0.717405691,0.760103055,0.6901073759999999,0.830098734,0.655109536
7,33,33,22054162,R1CBKQKQYW50UX,B003FBG88E,195677102,conair pro styler ionic conditioning hair dryer,5,0,0,N,Y,Great blow dryer,looks exactly as in photo. light weight and works like a charm. would definitely recommend,8/27/2015,0.22119360300000002, ,1.0,0.618343462,1.0,0.0,0.7228335109999999,0.7649740359999999,0.695891209,0.8340568629999999,0.661349795
8,34,34,42192723,R3DTN85N6X9SIS,B00006IV22,357308868,conair 1875 watt dual voltage folding handle hair dryer,5,0,0,N,Y,Great dryer for travel,Small and strong.  Great dryer for travel.  Also has dual voltage.  Glad I bought it!,8/27/2015,0.22666752699999998, ,1.0,0.6197955039999999,1.0,0.0,0.723265203,0.76536144,0.6963512159999999,0.834371665,0.661846103
9,37,37,47174340,RLQUFMAV4PDJV,B0009XH6V4,670161917,andis micro turbo hair dryer,5,2,2,N,Y,"Petite, but Powerful Performance","This is the 2nd time I bought this little hair dryer because I like it so much. My first one finally bit the dust after about 3 years. It's very small and lightweight--a plus for the suitcase, but still powerful enough to blow dry my hair fast. I have short hair, and this sweet little dryer is all I need to dry and style my hair--no need for a comb or brush. It's no frills--only 2 speeds--high and low. But it does exactly what I need it to, and it does it fast!",8/27/2015,0.359693393, ,1.0,0.655082639,1.318080836,0.123287146,0.753950503,0.791210225,0.730128714,0.852291735,0.699587959
10,41,41,42322138,R20ZGQIMYDIS4H,B0009XH6TG,47684938,"andis 1875-watt fold-n-go ionic hair dryer , silver/black (80020)",5,0,0,N,Y,Great hair dryer.,"Powerful, lots of fan settings, cold air button, and best of all, a retractable cord! I like the folding handle for traveling, too.Great product. I can blow my hair dry and blow out of here for a quick appointment!",8/27/2015,0.321083036, ,1.0,0.644840654,1.0,0.0,0.7307111270000001,0.772043486,0.704285519,0.8398014540000001,0.670406536
11,47,47,48428870,R2AVR4LDQJ9ZC3,B00VRN7SB8,253917972,remington silk ceramic professional hair dryer,5,0,0,Y,N,Really nice features in a blower dryer,"This is a very nice hair blow dryer.  The color is a lovely medium shade of pink that is in a matte tone versus a plastic looking shiny one.  The dryer comes with a diffuser which works well for my curly hair.  It has an unusual type of soft touch finish.  It doesn't feel slippery at all.  It fits well in the hand and the finish seems to be it fit a little more snug that others I have had before.<br /><br />The air filter is removable and be sure to clean it about once a week.  I destroyed a blow dryer by not cleaning the filter - it overheats the motor and kills it pretty quickly.  Along with the diffuser, there is a very narrow concentrator attachment which works really well if you need to put heat on a precise spot.  There are three heat settings and two speeds.  There is also a cool shot button for getting the air cool quickly as you are styling.<br /><br />The interesting thing about this blow dryer (apart from the finish) is that it is much quieter than others I have had.  My first thought was that it meant that it wasn't as powerful but that is not the case.  It works well and is not as loud.",8/26/2015,0.9450682770000001, ,1.0,0.810362235,1.0,0.0,0.779920692,0.816204644,0.7567227559999999,0.875686533,0.726981812
12,48,48,46032702,R3U2Q8FK78NL25,B003ICX810,415057628,pro beauty tools professional turbo hair dryer,5,0,0,N,Y,happy with product,Product is just as described. Super fast delivery,8/26/2015,0.16195474099999999, ,1.0,0.6026294520000001,1.0,0.0,0.718161736,0.7607815379999999,0.69091301,0.830650065,0.655978747
13,50,50,48160709,R1NRG8W14M4CLG,B00SKQFT4I,593915883,xtava allure 2200w professional ionic ceramic hair dryer - bring the salon to your home with this powerful and precise blow dryer - 2 speeds - 3 heat settings (ebony),5,0,0,N,Y,Five Stars,This is a great hair dryer with loads of power.  It feels like a salon dryer.,8/26/2015,0.26771768, ,1.0,0.630684681,1.0,0.0,0.7265025559999999,0.768266673,0.6998009070000001,0.836732439,0.665568024
14,56,56,44681219,R2B9QSQYIMD9IQ,B00132ZG3U,758099411,conair 1875 watt tourmaline ceramic hair dryer,5,0,0,N,Y,Mom Loves It!,"I bought this for my girl to keep her from buying another Walmart bargain. I can tell it's quieter than most and she says it dries her hair faster. Nice lightweight unit, ergonomically designed. The cleanable filter on the back is a nice feature.",8/25/2015,0.103353407, ,1.0,0.5870845570000001,1.0,0.0,0.7135402390000001,0.75663416,0.685988388,0.827279932,0.6506655020000001
15,57,57,49305973,R2CWOY8AIVXR78,B00132ZG3U,758099411,conair 1875 watt tourmaline ceramic hair dryer,5,0,0,N,Y,Five Stars,Bang for the buck very good. Good quality,8/25/2015,0.148805087, ,1.0,0.599141306,1.0,0.0,0.71712471,0.7598509,0.6898079659999999,0.829893835,0.654786498
16,63,63,37126096,R1V4NOB6BPAQP7,B0027SU9JU,918034537,revlon 1875w volumizing turbo hair dryer,5,0,1,N,Y,Great,This dryer is exactly what I wanted very lightweight and does the job,8/24/2015,0.12259555800000001, ,1.0,0.59218883,1.0,0.0,0.715057739,0.75799598,0.687605421,0.828386538,0.652410142
17,64,64,43251367,RJRW0RDNSZ6I1,B00SKQFT4I,593915883,xtava allure 2200w professional ionic ceramic hair dryer - bring the salon to your home with this powerful and precise blow dryer - 2 speeds - 3 heat settings (ebony),5,0,0,N,Y,This is the best dryer I have ever used,"This is the best dryer I have ever used. It isn't all that quiet, and though it's not really heavy, it is bigger than I'm used to and so still a bit unwieldy in my unpracticed hands, but it dries my thick, coarse, shoulder-length hair faster than any other device I have ever used. It also leaves my hair notably silkier and more manageable than other dryers. The Allure would seem to offer the benefits of an expensive professional tool at a surprisingly reasonable price. Hoping it holds up over time, and planning to purchase another to keep at my summer cottage.",8/24/2015,0.449792446, ,1.0,0.678982784,1.0,0.0,0.7408615820000001,0.781152607,0.715101746,0.847203468,0.682076316
18,65,65,43649610,R6TDV0VZY8MJ2,B00132ZG3U,758099411,conair 1875 watt tourmaline ceramic hair dryer,5,0,0,N,Y,Great product.  My wife loves it.,"My wife is very happy with this hair dryer and she has very full, THICK hair!",8/24/2015,0.204490664, ,1.0,0.6139127529999999,1.0,0.0,0.7215162620000001,0.763791923,0.69448756,0.833096285,0.659835379
19,70,70,35279206,R2UB31YAU4O9TO,B000BBGS40,588999286,"hot tools professional 800 watt ionic soft bonnet hair dryer, black & white",5,13,16,N,Y,Hot Tools bonnet dryer is compact & good brand. Remember the Dryer hose clicks into bonnet to stay hooked on.,"This is my third Hot Tools bonnet dryer in 25 years. I love it: highly recommend it. I, too had the bonnet constantly unhooking from the hose but realized after the second dryer that the bonnet has a notch inside the ring that clicks to keep the connected to the bonnet. The dryer does get very but with 4 heist settings I keep lower it after 10-15 minutes then every five.",8/24/2015,0.14906875, ,1.0,0.5992112470000001,1.9409315280000001,0.364702143,0.776883715,0.8084843559999999,0.756680026,0.860288687,0.730777861
20,75,75,15209903,R22CALOXJCOQOZ,B00MMRFUG8,127431946,"remington d3190a damage control ceramic hair dryer, ionic dryer, hair dryer, purple",5,0,0,Y,N,"Slightly Smaller and Lighter than its Predecessor. Quick Drying, No Fly-Away Hair.","I have been using an older model Remington hair dryer, and, while that model has held up well with daily use for over 3 years, this newer model is lighter weight and slightly smaller yet produces the same results as the old model.<br /><br />This Remington says that it has micro conditioners to prevent heat damage and increase hair shine. It also says that its ceramic technology prevents hair damage and dries hair faster.<br /><br />Since using the Remington hair dryers (daily) my hair (untreated and treated) do not show hair damage at all - no split ends, no dry/brittle, no fly-away. Whether this is attributable to the dryer or my hair product (changed when I started treating my hair), I cannot say. I use shampoo & conditioners about every other day and dry my hair every day.<br /><br />Dry time is fast. The new model doesn't seem to have a faster dry, but the dry time is pretty quick nonetheless. I do not use either attachment. This dryer comes with a diffuser (Remington caught flak with the last model not including a diffuser) and a directional blower. Both are standard plastic.<br /><br />Overall, this Remington dryer works well, dry well, and should last a number of years if it follows in previous models' footsteps. Very happy with the feel and results.",8/23/2015,0.875459036, ,1.0,0.791897324,1.0,0.0,0.774431075,0.8112782059999999,0.750873072,0.87168334,0.720670505
21,77,77,41395106,RX4KK6EUQL2UU,B001AFFBCG,392681682,revlon 1875w compact travel hair dryer,5,0,0,N,Y,Five Stars,I love how compact it is and how amazing it works!!!,8/23/2015,0.131515578, ,1.0,0.594555001,1.0,0.0,0.715761202,0.7586272740000001,0.688355024,0.8288995240000001,0.653218899
22,78,78,12121525,R2XBF2DRY15JIU,B00SKQFT4I,593915883,xtava allure 2200w professional ionic ceramic hair dryer - bring the salon to your home with this powerful and precise blow dryer - 2 speeds - 3 heat settings (ebony),5,0,1,N,Y,Happy with this purchase.,"This is a great dryer for the price. I haven't noticed my strands being shiny or silky,  but the dryer dries quickly and isn't very loud.  I appreciate the different heat and speed settings. The barrel is longer than most other dryers I've used but it isn't hard to grip or control. It is boxed nicely and comes with a diffuser attachment. I would recommend this productIf you check out the pictures in other's reviews you'll see they have had luck with smooth, shiny hair. I have not gotten a chance to use it that much to see results and I've been using texturing product which also isn't conducive to smooth or shiny hair.",8/23/2015,0.512358376, ,1.0,0.6955793490000001,1.0,0.0,0.74579574,0.78558057,0.720359538,0.850801603,0.6877490209999999
23,83,83,3683375,R3PLPPJMD961Z0,B00O0WRO08,486774008,"conair 1875 watt cord keeper 2-in-1 hair dryer, black",5,0,0,N,Y,Great price!! Great dryer,Great for the price!! Glad I didn't spend hundreds like I've seen on others!! Love it!!,8/22/2015,0.157419162, ,1.0,0.601426321,1.0,0.0,0.717804045,0.760460542,0.6905318579999999,0.830389226,0.655567517
24,85,85,22818653,RIGRO8YAV5XL6,B0012HEGCI,66259499,hot tools tourmaline ionic standing hair dryer hood rolling salon wheels stand,5,1,1,N,Y,Get the salon feel at home with the Hot Tools Tourmaline Standing Hair Dryer,"My purchase of the Hot Tools Tourmaline Ionic Standing Hair Dryer was a great investment. I love the purple and black color. It has two heat settings, high and low. Two speed settings, high and low, and it has an on/off ionic knob. It has an adjustable pole which is great when you have more than one person using it. It also has wheels so it is easy for me to roll it around the house. This is much better that the hooded dryer that I had to sit on the table and find a chair low enough so I could fit under the hood. I use my dryer on a weekly basis. The hood is very roomy and has a flip up front. I can dry my hair with large rollers with no problem. Now I can get the salon feel of the hair dryer at home.",8/22/2015,0.7040528340000001, ,1.0,0.746429221,1.150514998,0.058339145999999995,0.77046936,0.806923924,0.747162343,0.8666855059999999,0.717281552
25,88,88,49949511,R6SBBM9ZB8U9W,B002GQMTAK,955015830,"revlon 1875w rectractable cord, fold & go hair dryer",5,0,1,N,Y,Love it!,"This had terrible reviews but it was the only one I could find with the 3 things I wanted: diffuser, retractable cord, and folding handle. I figured for the price it was with a try. I'm so glad I did because I love it! I don't understand the negative reviews. It dries my hair quickly and my very curly hair looks great!",8/22/2015,0.152728224, ,1.0,0.600181978,1.0,0.0,0.717434102,0.7601285520000001,0.6901376509999999,0.830119453,0.6551422
26,89,89,20789642,RUYUENHPSLBUL,B00MMRFUG8,127431946,"remington d3190a damage control ceramic hair dryer, ionic dryer, hair dryer, purple",5,0,0,Y,N,Cuts Hair Drying in Half!,We have just gotten rid of all the hair dryers in the house to try some new ones (the last ones should have been thrown out years ago) and this one works great. My wife and daughter have very kinky curl hair and it takes time to dry their hair but this product cuts that time in half which is great. Very strong firm hair dryer that feels high end upon picking it up(although very affordable looking at the price). My daughter has taken over this one in her bathroom (she loves the color purple) so we have let her take possession of this one.<br /><br />Great hair dryer that you would expect to see at a high end salon.,8/22/2015,0.573439461, ,1.0,0.7117820359999999,1.0,0.0,0.7506127990000001,0.789903447,0.725492549,0.854314345,0.6932871
