,Unnamed: 0,Unnamed: 0.1,customer_id,review_id,product_id,product_parent,product_title,star_rating,helpful_votes,total_votes,vine,verified_purchase,review_headline,review_body,review_date,score,export,Total score
0,1,1,14964566,R3GCOEV4HYZG2I,B0055UBB4O,423421857,danby 0.7 cu.ft. countertop microwave,5,0,0,N,Y,Looks as good as the picture,Didn't use it long so I can't attest to that but for the price it is extremely good looking and feels like a quality build. Just know it's small - you will not be nuking turkeys in this - and it's not super high wattage so it may take a bit longer. So if you must have your canned soup in 2-1/2 minutes and not 3 then this won't work.,8/31/2015,0.11097489599999999,,0.77
1,5,5,16018452,R3M88678ZYC6WI,B004ZU09QQ,423421857,danby 0.7 cu.ft. countertop microwave,5,0,0,N,Y,Great Microwave,Really love this microwave. Has the one touch settings that I wanted along with the +30 seconds button.  Its a great size for a countertop.  It can be a little noisy when it beeps as others have said.,8/31/2015,0.268828264,,0.78
2,7,7,18672427,R1WU4A3QFKJ0HT,B0052G14E8,423421857,danby 0.7 cu.ft. countertop microwave,5,0,0,N,Y,Great Value for the Money.,Neat little unit. I have no complaints.,8/29/2015,0.006945629,,0.77
3,9,9,12458936,R2F0TUS62C3ZCN,B0052G14E8,423421857,danby 0.7 cu.ft. countertop microwave,5,0,0,N,Y,Great little microwave!,"Excellent small microwave!  I recently moved to an apartment which did not have a built-in microwave, but also a kitchen that wasn't that big.  This microwave was perfect for it.  Its footprint is small, however it packs a punch.  All my plates fit it and cooks everything evenly.  The only downside is that when opening or closing the door, the whole microwave sometimes may move as it's not the heaviest out there, but I'm not going to fault it for that, I just simply put my other hand on top of it while opening/closing.",8/28/2015,0.010402448,,0.77
4,11,11,31487975,R35P4D0NHKAGKE,B005GSZB9Q,771401205,"whirlpool wmc20005yw  countertop microwave, 0.5 cu. ft., white",5,1,1,N,Y,Five Stars,Love this microwave!  Gives me more space in my kitchen. ..only con is the price.,8/27/2015,-0.01954079,,0.77
5,13,13,51425093,RR48906IDDC7R,B00NXRHIO8,692404913,samsung counter top microwave,5,1,1,N,Y,... for about a week and so far it's been great; the microwaving powder is quite strong,"Had this for about a week and so far it's been great; the microwaving powder is quite strong; but the grill plate is too high for some bulkier food, that would be my only complain.",8/25/2015,0.255084137,,0.79
6,15,15,7686469,R1FB7BN6Z0L3XO,B005GSZB9Q,771401205,"whirlpool wmc20005yw  countertop microwave, 0.5 cu. ft., white",5,1,2,N,Y,This is a funny story.,"This is a funny story....years ago my husband found one of these cube microwaves at a garage sale for $25.00!  It was perfect for our daughter as she has an extremely SMALL kitchen with very little counter space etc.  Recently I moved to a older home, new home to me with lots of charm and very little counter space. No room for an over the range microwave. My new little Whirlpool Cube fits perfectly into the corner space of my new little kitchen!  Love it, Love it, Love it....however $25.00 would have been an easier price on the pocket book! LOL",8/24/2015,0.707126057,,0.81
7,19,19,14228362,R3YSEIBEK0XYT,B00DUZ8LBW,930071734,ge microwave oven magnetron and diode kit om75p (10) part # wb27x10017,5,0,0,N,Y,"Timely delivery, good product.","Prompt delivery, my microwave is back up and running.",8/24/2015,0.056396367,,0.77
8,20,20,42678211,R9HXJK5NX9IPY,B007V7G5TU,423421857,danby 0.7 cu.ft. countertop microwave,5,0,0,N,Y,Five Stars,very attractive and useful mircorwave,8/24/2015,0.124178867,,0.77
9,21,21,14546777,R14FJ9TGHJN8X8,B005GSZB9Q,771401205,"whirlpool wmc20005yw  countertop microwave, 0.5 cu. ft., white",5,0,0,N,Y,Whirlpool WMC20005YW 0.5 cubic ft. microwave white,Although only .5 it holds a nice size dish.  I love that the controls are at the bottom. Counter space is limited so this is peer.  Would be great in a dorm room too,8/23/2015,0.275054625,,0.78
10,23,23,1316798,RV08WAK7KQ5C8,B00NG0FP7E,565072108,lg over-the-range microwave oven with 300 cfm venting system,5,1,2,N,Y,Five Stars,Extremly satisfied,8/21/2015,0.05153365,,0.78
11,24,24,16996448,RUMJPRPFJFIZ2,B004NXUJ60,523301568,microwave cavity paint 98qbp0302,5,0,0,N,Y,Worked well on Sharp Carousel II,Worked well on an old Sharp Carousel II Microwave. 1 can was enough for 2 coats. First make sure you sand down and prime any rust spots so they won't show through.,8/20/2015,0.190509475,,0.78
12,25,25,42040790,R29HSQ1GJXRRXH,B007V7G5TU,423421857,danby 0.7 cu.ft. countertop microwave,5,0,0,N,Y,Great purchase. The microwave does the job and was ...,Great purchase.  The microwave does the job and was a great price.,8/20/2015,0.12360473599999999,,0.77
13,26,26,19768842,RRO2C7LNHYSSL,B004NXUJ60,523301568,microwave cavity paint 98qbp0302,5,0,0,N,Y,Five Stars,excellent results,8/20/2015,0.05468988599999999,,0.77
14,27,27,36581725,ROKWTKVHCUN0D,B0052G51AQ,423421857,danby 0.7 cu.ft. countertop microwave,5,0,0,N,Y,Five Stars,"Works great, product was as describer and delivered promptly and on time.",8/20/2015,0.14873354,,0.77
15,28,28,9939829,R23IP4R4VPCU7W,B005GSZB3M,109226352,whirlpool wmc20005yb 0.5 cu. ft. black countertop microwave,5,2,2,N,Y,Truckers Mucrowave,Perfect for semi truck at 750 watts can run on1000 watt inverter,8/20/2015,0.217849446,,0.8
16,29,29,38328350,R3ALDVS4RB8YJD,B0052G51AQ,423421857,danby 0.7 cu.ft. countertop microwave,4,47,53,N,Y,Gap on the top right,"I just received mine and, when it's running, you can see the interior light shinning through a gap on the top corner. Not sure if this is normal or safe, so I've submitted a question about it. For now, I'll give it a 3 star review for looks and the slightly annoying BANG! the door makes when it closes, pending any heating and an answer to my question. I'll update then. I'm attaching pictures of the gap.<br /><br />UPDATE (9/26/2015): Well, the gap doesn't seem to be a normal feature, but it doesn't seem to affect the operation of the microwave oven in any way. I mostly use it for heating up leftovers and it works great for that purpose, have not tried it for any serious cooking. The loud door is far more tolerable now after a few uses, barely noticeable. Updating my review to 4 stars, won't do five only because of that gap.",8/19/2015,0.45654561899999996,,0.74
17,30,30,30384634,R7LFUNGK7ZW6L,B004NXUJ60,523301568,microwave cavity paint 98qbp0302,5,0,0,N,Y,Five Stars,Works well with proper preparation.,8/19/2015,0.12131684699999999,,0.77
18,32,32,34078104,R3MSBQ3L6OIFIP,B003KI1W3I,984005611,sharp rmotda252wrzz microwave turntable motor,5,0,0,N,Y,Five Stars,Good,8/18/2015,0.03658225,,0.77
